case,perimeter
1,2.850223755307007
2,2.917051935826996
3,3.201407749331898
4,3.0759469931370447
5,3.2682943259750394
6,2.974644407126407
7,3.156706097268117
8,3.13216393147598
9,3.684156550649595
10,2.9640858686663334
11,3.5063398645386514
12,4.408171091801329
13,3.4175068216269135
14,2.856331771851595
15,3.0304529868706975
16,3.6547761233302998
17,3.674627940079684
18,3.199668927106983
19,2.782802478749029
20,3.1043715963662035
21,3.0159331958646924
22,2.9807724095326704
23,3.0203068015816403
24,3.6127707960570503
25,3.768336721839382
26,3.226987148118066
27,3.740873880933874
28,3.2011516347176143
29,2.932369966217747
30,3.3793451836786415
31,2.88508962116301
32,2.8126787298259
33,3.3198774074962794
34,3.4226185236262388
35,3.3291460003391626
36,3.377660587827146
37,2.8147419697054077
38,3.7419462113635653
39,2.954209874555775
40,3.585482330355813
41,3.6579721476004337
42,2.924519868898154
43,2.760575698742127
44,3.8578063739520236
45,3.3133647357488187
46,3.0531865273846504
47,3.234020754195567
48,3.607248214718772
49,2.8328085474271534
50,3.731482516886175
51,3.3921461287489643
52,3.097938858607254
53,3.2329242961645055
54,3.202370911719849
55,3.029777937809109
56,2.847047387819327
57,2.70787799599441
58,3.1839691000564385
59,3.066395182112993
60,3.109616856235415
61,3.5007037405747115
62,2.961929821551175
63,3.4326703850567903
64,3.944571257953367
65,3.613463406559044
66,3.105263860585036
67,2.824282357938084
68,3.155797816102145
69,2.9723841544553475
70,2.7692220455274366
71,2.969171100790027
72,2.8830233561827017
73,3.177659559203647
74,3.0403440777145514
75,3.3581463932243008
76,3.2629185246526324
77,3.351999238655861
78,2.992087553822531
79,3.3178557000730624
80,3.4413900251297433
81,3.4821106438660046
82,3.2167183193245306
83,3.357904164417914
84,3.231295819501125
85,2.9905151364419194
86,2.0582468456073806
87,2.075247828880236
88,2.1009990539515013
89,2.144599931708217
90,2.223947487620563
91,2.422105829806352
92,3.063548444327068
93,3.141584579044779
94,3.067241058492818
95,2.422105829806354
96,2.2274764783344154
97,2.1445999317082176
98,2.100999053951498
99,2.075001299304921
100,2.0581503522961544
