case,Lx,Ly
1,0.7885289093583983,0.9070191053451433
2,0.8094166382625181,0.8734008637620307
3,0.7871203173635895,0.8815739081610442
4,0.8492401450283538,0.8816129687664737
5,0.882149830661662,0.7726278279987897
6,0.901724568917339,0.8828337354230023
7,0.7894413958030164,0.7576137504924456
8,0.7133798379197185,0.9062968426358282
9,0.8239891439181453,0.9020034872589424
10,0.9056913292903325,0.8534869605913493
11,0.8550187446829564,0.9156579821332511
12,0.8795950767843499,0.9563850366979394
13,0.904184259617442,0.9203536995540147
14,0.8673165443409241,0.8654945300592557
15,0.9189343467018506,0.936759822905979
16,0.9313234988021231,0.8820298559520048
17,0.9099936810922489,0.8532116522155546
18,0.932552289295957,0.9508018974679375
19,0.8680635003181234,0.8381862102604966
20,0.8825619002766656,0.8733208776191435
21,0.8350717312384426,0.9049472784905085
22,0.8717809204197061,0.8479522116550686
23,0.8658654571446505,0.7620450545682274
24,0.7953238600751404,0.8486237993840398
25,0.8736954998723837,0.7284678203318905
26,0.7933638889146722,0.8215884093660912
27,0.953333121091382,0.8747795716752929
28,0.9039910871458996,0.9374284201962402
29,0.8945265845957813,0.9512165090591642
30,0.9641582469454618,0.8227683945534732
31,0.8915262818275063,0.9744412554314531
32,0.9384925155117347,0.872240334681698
33,0.9499937605034485,0.8807847687551749
34,0.914925265055017,0.8054697375407425
35,0.8071725706418412,0.912568457656562
36,0.776977633840884,0.9302455444675706
37,0.9164123002625801,0.8243730250173318
38,0.9038237807402852,0.8489802017864605
39,0.8746505598595734,0.7612358210862586
40,0.918513797663495,0.8365515750097425
41,0.8817088134850182,0.8965567208262505
42,0.8528851550560598,0.8015852673074486
43,0.8707602644567716,0.9069394687007332
44,0.8771905474653021,0.9281582537061157
45,0.8226181048703278,0.8779366072355423
46,0.9355418551753141,0.9687943395771091
47,0.8016624451512606,0.9441033243706908
48,0.9264168711997246,0.7340914517914665
49,0.8806740365329231,0.8455953256505238
50,0.8313086540062895,0.9449344616496972
51,0.87914445346826,0.9345688962408685
52,0.8476793768505209,0.8178720113834157
53,0.7735206984435881,0.780171745812265
54,0.8352860878715158,0.889971908272878
55,0.9175566825724536,0.938763926141239
56,0.8592775562926791,0.8809557296572614
57,0.8494654748586563,0.702376410538899
58,0.787160774009686,0.8652070842852865
59,0.7731046747453385,0.9633910407233508
60,0.858291799241854,0.8249876098154766
61,0.883201375058664,0.8632371937513734
62,0.8606756475478922,0.8581566377878038
63,0.8351637329116179,0.7928922532445172
64,0.868799766581259,0.9566214063079046
65,0.7982321280692745,0.9611819482824784
66,0.83971427069426,0.877809287011601
67,0.8407411013024444,0.8047886019050063
68,0.873854313256915,0.8720657008335913
69,0.9249605459953494,0.8910300952701495
70,0.7735827804723304,0.9002236618421937
71,0.7963386590533429,0.8927338104192466
72,0.7893632956034875,0.9220394993909045
73,0.8465005753790565,0.920213064810189
74,0.9637351919055649,0.9563534686720129
75,0.8338633114722389,0.891141634971014
76,0.8715045346232706,0.8619696903121867
77,0.9078129271028741,0.8353525905928288
78,0.8969758733761046,0.8840338184720336
79,0.9132250525828287,0.8097218552243939
80,0.8392561945614714,0.8255363103751853
81,0.7277894768468092,0.9077429916997873
82,0.9458072158470799,0.8710080317877757
83,0.8084931159811819,0.8394251429558205
84,0.902325439084658,0.8242478485937339
85,0.6848222015834022,0.8621894053611665
86,0.1429999999999999,1.0
87,0.16699999999999993,1.0
88,0.20000000000000007,1.0
89,0.25,1.0
90,0.33000000000000007,1.0
91,0.5,1.0
92,0.9500000000000001,1.0
93,1.0,1.0
94,1.0,0.9523809523809524
95,1.0,0.5
96,1.0,0.33333333333333337
97,1.0,0.25
98,1.0,0.20000000000000007
99,1.0,0.16666666666666663
100,1.0,0.1428571428571428
